id,analog_ids,analog_dates,dists
0,744,1967-01-15,2.46329815549725
1,19716,2018-12-25,2.503457449863549
2,4008,1975-12-23,2.511040662118095
3,8772,1989-01-07,2.2314376086748826
4,9878,1992-01-18,2.471575414699627
5,14965,2005-12-22,2.518110500445563
6,9149,1990-01-19,2.511810563608959
7,4742,1977-12-26,2.3301980243429776
8,746,1967-01-17,2.9987910279886174
9,13530,2002-01-17,2.3856280519541935
10,4013,1975-12-28,2.2249834330396108
11,3661,1975-01-10,3.3762261600200407
12,19735,2019-01-13,2.3694158626802135
13,4747,1977-12-31,2.555903651453537
14,16803,2011-01-03,2.964371514887355
15,2948,1973-01-27,2.3280796337412486
16,1099,1968-01-05,2.4565471068335856
17,1489,1969-01-29,3.2760041966345836
18,4772,1978-01-25,3.3211998210690012
19,5141,1979-01-29,3.549635596205162
20,18633,2016-01-07,3.3242366396268097
21,18633,2016-01-07,3.635373678066103
22,17916,2014-01-20,2.993772202235433
23,19392,2018-02-04,3.078401950264308
24,6240,1982-02-01,2.2786337779899735
25,9522,1991-01-27,2.3445683845699845
26,2228,1971-02-07,2.4287849912465997
27,2225,1971-02-04,2.4611062367329124
28,1116,1968-01-22,2.5665724511577657
29,18287,2015-01-26,2.4799802045641024
30,15,1965-01-16,3.05094940667917
31,14627,2005-01-18,2.8032033975852366
32,19751,2019-01-29,3.2854136762387203
33,2967,1973-02-15,2.3879074102617452
34,13175,2001-01-27,1.8603538714814218
35,13175,2001-01-27,2.3268808144254938
36,13175,2001-01-27,1.9740381922101804
37,17564,2013-02-02,2.84103587450928
38,12467,1999-02-19,2.386936938449655
39,12831,2000-02-18,2.423424937014175
40,12469,1999-02-21,2.146890692871872
41,12828,2000-02-15,1.9981437465554153
42,12827,2000-02-14,3.158184225913243
43,11746,1997-02-28,2.502102962807934
44,9920,1992-02-29,2.193884662078979
45,12840,2000-02-27,2.042014731668961
46,9921,1992-03-01,2.363246447966801
47,12842,2000-02-29,2.4839323577817503
48,17568,2013-02-06,2.9449525080848438
49,8081,1987-02-16,2.842516547257902
50,18676,2016-02-19,2.569165800188339
51,9902,1992-02-11,3.4746784819791405
52,9902,1992-02-11,2.294777398897748
53,19791,2019-03-10,2.419439412233684
54,16128,2009-02-27,2.7073616854110307
55,12114,1998-03-03,3.1045834680560787
56,12468,1999-02-20,3.31160388431669
57,4439,1977-02-26,2.398768883147724
58,16865,2011-03-06,2.022254073905646
59,7373,1985-03-10,2.613461449428458
60,7373,1985-03-10,1.802484569315642
61,9916,1992-02-25,1.9977703340619373
62,12468,1999-02-20,2.756292393082576
63,11013,1995-02-26,2.390144578208913
64,2977,1973-02-25,2.100324622088288
65,14297,2004-02-23,2.4554861649578044
66,14302,2004-02-28,2.780036981151971
67,7380,1985-03-17,2.719869301390816
68,10285,1993-02-28,2.475405818188435
69,18704,2016-03-18,3.0515377401946275
70,2995,1973-03-15,2.2288387809921666
71,18340,2015-03-20,2.390894230048207
72,19799,2019-03-18,2.2450023485187183
73,16153,2009-03-24,2.311983237868449
74,17604,2013-03-14,2.808641551788434
75,15035,2006-03-02,2.4430564827730974
76,4088,1976-03-12,2.6659942788785296
77,9568,1991-03-14,3.033649833831047
78,4102,1976-03-26,2.2315208990716053
79,17239,2012-03-14,2.2309201279686177
80,12132,1998-03-21,2.572206267076563
81,12133,1998-03-22,2.074786637916898
82,13951,2003-03-14,2.0802127205589
83,13598,2002-03-26,2.350237831031704
84,2993,1973-03-13,2.199369869628373
85,4845,1978-04-08,2.1091230565026633
86,19441,2018-03-25,2.0442804455057106
87,17620,2013-03-30,2.6453160931520503
88,4481,1977-04-09,2.228930312860975
89,17629,2013-04-08,2.013794642387293
90,3733,1975-03-23,1.9081245121565487
91,17626,2013-04-05,2.231193395234557
92,13977,2003-04-09,2.1864119597220912
93,4854,1978-04-17,2.0929656713524403
94,7749,1986-03-21,2.031010957958591
95,13960,2003-03-23,2.0341270532033455
96,5222,1979-04-20,1.8704182576662889
97,15437,2007-04-08,2.1655754046171025
98,8140,1987-04-16,2.0821528351656715
99,2647,1972-04-01,2.1641733162379526
100,15066,2006-04-02,2.804481432640121
101,1940,1970-04-25,2.801511606209976
102,7399,1985-04-05,2.7973407315443506
103,464,1966-04-10,2.085005092950485
104,470,1966-04-16,2.7477528486928517
105,6665,1983-04-02,2.771650874681211
106,17270,2012-04-14,3.006793190667099
107,17626,2013-04-05,2.692158008375913
108,5209,1979-04-07,2.7070410479910834
109,5209,1979-04-07,3.1384707872682873
110,19825,2019-04-13,2.2608953624998125
111,19826,2019-04-14,2.527455576216784
112,19827,2019-04-15,2.3581594462321003
113,16925,2011-05-05,2.2133459214965754
114,7050,1984-04-21,2.1661442620109823
115,11080,1995-05-04,1.7882938306569678
116,11080,1995-05-04,2.015433957195197
117,11081,1995-05-05,2.2677621351972688
118,11081,1995-05-05,1.8815052029861088
119,20216,2020-05-08,3.094028273999825
120,19469,2018-04-22,2.326974845855083
121,134,1965-05-15,1.8495479949275442
122,134,1965-05-15,2.2642660768898564
123,16204,2009-05-14,2.153666497684282
124,19124,2017-05-12,2.53244110045126
125,2676,1972-04-30,3.205542034164193
126,4514,1977-05-12,2.499222637792181
127,1218,1968-05-03,2.2223792965481177
128,15471,2007-05-12,1.8429565524678402
129,13283,2001-05-15,1.9076168756307639
130,6352,1982-05-24,2.025996145159645
131,15109,2006-05-15,2.2456271498803453
132,18385,2015-05-04,2.6274360474904705
133,16197,2009-05-07,2.0629710539442008
134,13649,2002-05-16,2.3147351720895837
135,7807,1986-05-18,1.8466555129720446
136,9996,1992-05-15,2.6626692829707257
137,7808,1986-05-19,2.531402225801299
138,11834,1997-05-27,2.677444482015031
139,3066,1973-05-25,1.506142382570495
140,7457,1985-06-02,1.9204217105062384
141,4526,1977-05-24,2.536779278550703
142,7808,1986-05-19,2.3278800749504605
143,16591,2010-06-05,1.8613991882969914
144,10385,1993-06-08,1.7272445600309092
145,12919,2000-05-16,1.8518754022412443
146,12207,1998-06-04,2.324898498559737
147,15483,2007-05-24,2.4102888011599344
148,7461,1985-06-06,2.538197650231406
149,7462,1985-06-07,2.415141050643149
150,14394,2004-05-30,1.9345594420565824
151,3069,1973-05-28,1.8773111507617186
152,14399,2004-06-04,1.7446256213730573
153,1246,1968-05-31,1.6900018460335904
154,14397,2004-06-02,1.6089656777973405
155,882,1967-06-02,1.5749664762184792
156,20240,2020-06-01,1.610630353878921
157,877,1967-05-28,1.8798186566871309
158,11845,1997-06-07,1.8579065459175095
159,2712,1972-06-05,1.9957171794828121
160,11847,1997-06-09,2.228969124801595
161,20262,2020-06-23,2.0205362648088503
162,14777,2005-06-17,1.828641090332368
163,14423,2004-06-28,1.5362541090098918
164,14424,2004-06-29,1.5167984754666428
165,14783,2005-06-23,1.524375757467203
166,2003,1970-06-27,1.9768530321750186
167,18802,2016-06-24,1.7918180952176241
168,10772,1994-06-30,1.871653598958221
169,13330,2001-07-01,1.8974369952798655
170,19533,2018-06-25,1.9170763539724434
171,13689,2002-06-25,1.8241676988276518
172,14424,2004-06-29,1.7714417136428966
173,10404,1993-06-27,1.5229134163013638
174,3474,1974-07-07,1.6653644145458961
175,17344,2012-06-27,1.4527021158738271
176,6395,1982-07-06,1.6196615174033453
177,8224,1987-07-09,1.7588123303325114
178,19186,2017-07-13,1.870707711592806
179,7494,1985-07-09,1.7693660948224228
180,3115,1973-07-13,1.6404662752054775
181,3114,1973-07-12,1.7640825136750604
182,8940,1989-06-24,1.7161781981148916
183,18806,2016-06-28,1.605895392136491
184,15886,2008-06-30,1.5366020752617473
185,4941,1978-07-13,1.3579412039202854
186,20289,2020-07-20,1.857021999624953
187,4941,1978-07-13,1.6520459879612235
188,178,1965-06-28,1.7108269610338118
189,14786,2005-06-26,1.7768552592941047
190,14071,2003-07-12,2.28735485159498
191,11163,1995-07-26,2.0797542172136323
192,19926,2019-07-23,2.5944198881739826
193,16626,2010-07-10,2.6146998737533043
194,19926,2019-07-23,2.3210198796829244
195,12256,1998-07-23,1.9509542067235501
196,14082,2003-07-23,1.6585042882636092
197,11165,1995-07-28,1.8186558736076028
198,6399,1982-07-10,1.8580996614735454
199,11165,1995-07-28,1.830170717947191
200,11165,1995-07-28,1.5599860010192728
201,14458,2004-08-02,1.7406382106507245
202,14074,2003-07-15,1.9445789791329744
203,14074,2003-07-15,1.8817190775464154
204,943,1967-08-02,1.636345714983585
205,2402,1971-07-31,1.7023900719167127
206,14079,2003-07-20,1.6152602340260012
207,19569,2018-07-31,1.4194854928178184
208,19569,2018-07-31,1.6817791516373597
209,19929,2019-07-26,1.821956841101629
210,14075,2003-07-16,1.8507531519259328
211,14075,2003-07-16,2.145218333918528
212,19569,2018-07-31,1.8584316133771213
213,10804,1994-08-01,1.9227167926251785
214,943,1967-08-02,2.183753887125365
215,14082,2003-07-23,1.8423701638428345
216,14082,2003-07-23,1.9481202067655046
217,9712,1991-08-05,1.9312756566540783
218,10807,1994-08-04,1.8831676521948475
219,10808,1994-08-05,1.9730590995687647
220,18480,2015-08-07,1.2509222869800463
221,18484,2015-08-11,1.7107573649148233
222,2401,1971-07-30,1.8000663763172857
223,19568,2018-07-30,1.6523126827450358
224,2404,1971-08-02,1.8245389108825485
225,2405,1971-08-03,1.6705178564379113
226,9709,1991-08-02,1.9460788417439199
227,9710,1991-08-03,2.3798112311165203
228,9711,1991-08-04,2.032346479851231
229,10806,1994-08-03,1.7609546391656394
230,6061,1981-08-06,1.6225254782540566
231,18479,2015-08-06,1.7219531887924266
232,18479,2015-08-06,1.799466885999391
233,13375,2001-08-15,1.7974014633695765
234,13375,2001-08-15,2.07779630218494
235,589,1966-08-13,1.8612850749554628
236,589,1966-08-13,1.9891895599952778
237,17399,2012-08-21,2.1097401344256803
238,17399,2012-08-21,2.2392292303400114
239,7530,1985-08-14,2.4623481273204333
240,13376,2001-08-16,2.4155507438865
241,17398,2012-08-20,2.3563805109103635
242,10454,1993-08-16,1.8745801811496068
243,7533,1985-08-17,2.066107483990877
244,16304,2009-08-22,1.5826447602952896
245,9732,1991-08-25,1.6263514883851529
246,3884,1975-08-21,1.366838133350384
247,974,1967-09-02,1.717134529970486
248,7540,1985-08-24,2.041137481453816
249,11558,1996-08-24,2.3054399263698424
250,16311,2009-08-29,2.0063551025833384
251,6837,1983-09-21,2.0117756338791493
252,7915,1986-09-03,1.7922671539819415
253,15579,2007-08-28,1.6367705163055528
254,14120,2003-08-30,2.035798655013157
255,4989,1978-08-30,2.217248687237032
256,4989,1978-08-30,2.5693617299127633
257,7922,1986-09-10,2.0303671101295895
258,7923,1986-09-11,1.6505847736734593
259,7923,1986-09-11,1.9016598620337732
260,9377,1990-09-04,2.225611141397596
261,9377,1990-09-04,2.4834809907153494
262,6100,1981-09-14,2.285808400369009
263,5754,1980-10-03,2.467141847756107
264,2103,1970-10-05,1.9502002427013123
265,19992,2019-09-27,1.6864915823807274
266,6105,1981-09-19,1.7530404106261985
267,6106,1981-09-20,2.6909382771585646
268,10485,1993-09-16,2.459339127113841
269,13404,2001-09-13,1.7029407183685574
270,2100,1970-10-02,1.7286447492084782
271,18525,2015-09-21,2.128300443472486
272,10485,1993-09-16,2.2983839939719273
273,9391,1990-09-18,2.252658920751387
274,11593,1996-09-28,1.769636468394584
275,1739,1969-10-06,1.4782519417352464
276,13051,2000-09-25,2.034776527572514
277,13048,2000-09-22,1.8168058765464346
278,11959,1997-09-29,1.942231541474579
279,16700,2010-09-22,1.869166918466435
280,14522,2004-10-05,2.7265528822928355
281,17085,2011-10-12,2.5135236355572603
282,17085,2011-10-12,1.5239956545553
283,7576,1985-09-29,1.7558035189597156
284,1012,1967-10-10,1.865332321457462
285,1373,1968-10-05,1.8575419538435702
286,7577,1985-09-30,2.0673189018481817
287,6848,1983-10-02,1.6316115269762748
288,4679,1977-10-24,1.8207875171685852
289,15991,2008-10-13,1.5752613560025517
290,1009,1967-10-07,1.5870377399238778
291,15275,2006-10-28,1.995866553093628
292,7951,1986-10-09,2.243405196604103
293,6499,1982-10-18,2.5732829088888254
294,13441,2001-10-20,2.462482307982823
295,8317,1987-10-10,2.674177966657254
296,6503,1982-10-22,2.065120202293288
297,20019,2019-10-24,2.062387113975697
298,20019,2019-10-24,2.222246173561932
299,16739,2010-10-31,2.296086875636114
300,17464,2012-10-25,2.494796000129139
301,9435,1990-11-01,2.3787855344931574
302,13460,2001-11-08,2.598586111143113
303,12360,1998-11-04,3.0863081817398843
304,2137,1970-11-08,2.1813442306557453
305,3601,1974-11-11,2.609518044551414
306,3605,1974-11-15,2.2573973958947446
307,9074,1989-11-05,2.3166967866956276
308,12358,1998-11-02,2.3382388306103095
309,15299,2006-11-21,2.3004154262657273
310,18949,2016-11-18,2.255748820452115
311,9802,1991-11-03,2.609681248238305
312,1778,1969-11-14,1.9719229135135163
313,18209,2014-11-09,2.2649766535659324
314,13090,2000-11-03,2.491012091039246
315,9075,1989-11-06,2.7077094576040333
316,4334,1976-11-13,2.1179613079268416
317,8367,1987-11-29,2.8161709775716433
318,18223,2014-11-23,2.46839830255482
319,18226,2014-11-26,2.445530977107314
320,11274,1995-11-14,2.4050339352688406
321,18585,2015-11-20,1.9945271282648935
322,10180,1992-11-15,2.7640786190856814
323,20053,2019-11-27,2.9571477604439904
324,7996,1986-11-23,2.097193133279786
325,18950,2016-11-19,1.8886948827254129
326,18951,2016-11-20,2.4642520099673546
327,13108,2000-11-21,2.2496072676224803
328,17496,2012-11-26,2.2318535210816663
329,17496,2012-11-26,1.9401221804835658
330,14203,2003-11-21,2.5588161064094597
331,17496,2012-11-26,2.6642434924648617
332,13842,2002-11-25,2.384236388567084
333,16760,2010-11-21,2.7661247780484977
334,16758,2010-11-19,2.695781600304114
335,14203,2003-11-21,2.174758945036276
336,6175,1981-11-28,2.69590862732848
337,10184,1992-11-19,2.3382746939685055
338,5463,1979-12-17,1.9717632214175589
339,3984,1975-11-29,2.14565901868158
340,15683,2007-12-10,2.5165340805973746
341,5833,1980-12-21,2.750766405285822
342,9475,1990-12-11,2.5049043145921503
343,5078,1978-11-27,2.831043483806413
344,6565,1982-12-23,2.420608989956864
345,17864,2013-11-29,2.3624907662875207
346,3282,1973-12-27,2.2755599175549928
347,3626,1974-12-06,1.9728260555178112
348,10208,1992-12-13,2.2109576266141313
349,12781,1999-12-30,2.326782003076061
350,714,1966-12-16,2.355128587041442
351,12409,1998-12-23,2.488885198621213
352,18973,2016-12-12,2.34372160550187
353,13866,2002-12-19,3.45010904594397
354,4733,1977-12-17,2.4381518051941335
355,14229,2003-12-17,2.596665068331346
356,14966,2005-12-23,2.2583904253743348
357,2178,1970-12-19,1.9483875335811214
358,3285,1973-12-30,2.3513755504229237
359,12786,2000-01-04,2.6475639518655862
360,12049,1997-12-28,3.6565803400566934
361,12789,2000-01-07,2.56652707770687
362,2543,1971-12-19,2.93147129291087
363,15714,2008-01-10,2.7844772137680778
364,17896,2013-12-31,2.4972507315953734
